Package	Version
abind	1.4-5
ade4	1.7-18
annotate	1.68.0
AnnotationDbi	1.52.0
AnnotationFilter	1.14.0
AnnotationHub	2.22.1
aod	1.3.2
ape	5.6-1
ArchR	0.9.5
argparse	2.1.5
askpass	1.1
assertthat	0.2.1
backports	1.4.1
base64enc	0.1-3
basilisk	1.2.1
basilisk.utils	1.2.2
bayesm	3.1-4
beachmat	2.6.4
beeswarm	0.4.0
betareg	3.1-4
BH	1.78.0-0
Biobase	2.50.0
BiocFileCache	1.14.0
BiocGenerics	0.36.1
BiocManager	1.30.17
BiocNeighbors	1.8.2
BiocParallel	1.24.1
BiocSingular	1.6.0
BiocVersion	3.12.0
biomaRt	2.46.3
Biostrings	2.58.0
bit	4.0.4
bit64	4.0.5
bitops	1.0-7
blob	1.2.3
bluster	1.0.0
brew	1.0-7
brio	1.1.3
broom	0.8.0
BSgenome	1.58.0
BSgenome.Hsapiens.UCSC.hg38	1.4.3
bslib	0.3.1
cachem	1.0.6
Cairo	1.5-12.2
callr	3.7.0
carData	3.0-5
caret	6.0-90
caTools	1.18.2
cellranger	1.1.0
chromVAR	1.12.0
circlize	0.4.14
cli	3.1.1
clipr	0.8.0
clue	0.3-60
CNEr	1.26.0
coda	0.19-4
coin	1.4-2
colorspace	2.0-2
commonmark	1.7
ComplexHeatmap	2.6.2
compositions	2.0-4
corrplot	0.92
CountClust	1.18.0
covr	3.5.1
cowplot	1.1.1
cpp11	0.4.2
crayon	1.5.1
credentials	1.3.2
crosstalk	1.2.0
crul	1.2.0
curl	4.3.2
data.table	1.14.2
DBI	1.1.2
dbplyr	2.1.1
dbscan	1.1-10
DelayedArray	0.16.3
DelayedMatrixStats	1.12.3
deldir	1.0-6
dendextend	1.15.2
DEoptimR	1.0-11
desc	1.4.1
DescTools	0.99.44
DESeq2	1.30.1
devtools	2.4.3
dichromat	2.0-0.1
diffobj	0.3.5
digest	0.6.29
DirichletMultinomial	1.32.0
DirichletReg	0.7-1
docopt	0.7.1
doMC	1.3.8
doParallel	1.0.17
dplyr	1.0.7
dqrng	0.3.0
DropletUtils	1.10.3
DT	0.22
dtplyr	1.2.1
e1071	1.7-9
edgeR	3.32.1
ellipsis	0.3.2
ensembldb	2.14.1
entropy	1.3.1
evaluate	0.15
Exact	3.1
ExperimentHub	1.16.1
expm	0.999-6
extrafontdb	1.0
fansi	1.0.2
farver	2.1.0
fastcluster	1.2.3
fastmap	1.1.0
fastmatch	1.1-3
fgsea	1.16.0
filelock	1.0.2
findpython	1.0.7
fitdistrplus	1.1-8
flexmix	2.3-17
FNN	1.1.3
fontawesome	0.2.2
forcats	0.5.1
foreach	1.5.2
formatR	1.12
Formula	1.2-4
fs	1.5.2
futile.logger	1.4.3
futile.options	1.0.1
future	1.25.0
future.apply	1.9.0
gage	2.40.2
gargle	1.2.0
