,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
1,SPRR1A,4.75234233513587e-53,-3.25895753774706,-3.00692317956338,-3.51099189593074,7.1841159080249e-49
2,ITGB4,2.16616107949668e-52,2.00299434456548,2.16164881487082,1.84433987426013,1.63729285193756e-48
3,WNT10A,9.59504747924263e-52,2.70544785766928,2.93620686413359,2.47468885120496,4.83494442479036e-48
4,LAMB3,2.52697852463462e-48,2.14802645078699,2.361560671668,1.93449222990597,9.55008358922539e-45
5,COL17A1,1.74483878513682e-47,2.55564670999887,2.80912802460145,2.30216539539629,5.27534558298267e-44
6,COL18A1,6.30726881998849e-47,2.03555460545045,2.23883348277569,1.83227572812522,1.5891163791961e-43
7,MAL2,2.24208766708575e-45,-2.33213135319007,-2.10929586721091,-2.55496683916923,4.84194846619075e-42
8,GOLIM4,1.30416877121303e-43,2.07248307463189,2.30737774090143,1.83758840836236,2.46438991430343e-40
9,CCDC64B,1.81324191275528e-43,-2.05234437971539,-1.86643476967499,-2.23825398975579,3.04564199945795e-40
10,BSPRY,3.48734632073759e-43,-2.02344240987084,-1.82333086276137,-2.22355395698031,5.27182143305901e-40
11,ITGA3,4.71412188209394e-43,1.7700910842583,1.94612927176304,1.59405289675357,6.47848913560128e-40
12,METRNL,5.93247078503893e-43,-2.15177255460326,-1.93052880097896,-2.37301630822755,7.4734300714528e-40
13,PDZK1IP1,6.82999741594546e-43,-2.78281096064714,-2.51939522770824,-3.04622669358604,7.94223622591134e-40
14,PRDX5,6.13522030071842e-42,-1.12939595692778,-1.01887634724841,-1.23991556660715,6.62472323471145e-39
15,CLIC3,2.81156198743322e-41,-2.58282654028993,-2.32129243918316,-2.8443606413967,2.8334921709352e-38
16,LMO1,6.37424956184525e-41,2.4154339783147,2.67366479579448,2.15720316083492,6.02247066415091e-38
17,CYSRT1,1.21022931280678e-40,-2.1010486737112,-1.89045573792239,-2.31164160950001,1.07617861892354e-37
18,RHOV,1.77211274902125e-40,-2.18886421158595,-1.95892948538689,-2.41879893778502,1.48827935705301e-37
19,PTPRS,4.28432280300916e-40,1.41570791163703,1.57213213080395,1.2592836924701,3.40874251647839e-37
20,FKBP1A,7.63776536020146e-40,1.58496450347991,1.74637228358817,1.42355672337166,5.77300494750827e-37
21,PPIC,2.4414540979921e-39,1.79758612157595,2.02297638621428,1.57219585693762,1.75749817139746e-36
22,SIVA1,2.53397270406981e-38,2.00964086189798,2.22085332262305,1.79842840117291,1.74118478942833e-35
23,FSCN1,2.99295471414084e-38,1.92636620394857,2.16574337662279,1.68698903127434,1.96715201798553e-35
24,PRR13,3.56739894895509e-38,-1.46483096313899,-1.30935438467059,-1.62030754160739,2.24701541297309e-35
25,ARL4C,6.92195705954791e-38,1.94722127161727,2.16085853590627,1.73358400732827,4.18556899476743e-35
26,RAB11A,8.60581203362105e-38,-1.30989261327253,-1.16951538109191,-1.45026984545315,5.00361771200959e-35
27,HTRA1,1.07269411208366e-37,2.24387731630826,2.48429461900068,2.00346001361584,6.00589514532173e-35
28,MIEN1,2.73606878880501e-37,-1.18867756137556,-1.05976560325081,-1.3175895195003,1.47718399572733e-34
29,SERPINE2,4.05391444331841e-37,2.1590822027804,2.40810500818233,1.91005939737848,2.11320774619464e-34
30,MALL,6.36134903164958e-37,-1.99487965812099,-1.76409349997762,-2.22566581626437,3.20548377704822e-34
31,GSTO1,1.13607741471325e-36,-1.83587525828836,-1.63367993595187,-2.03807058062485,5.38041154930432e-34
32,NFIC,1.13893741865276e-36,1.73402382537251,1.95155761590734,1.51649003483768,5.38041154930432e-34
33,SNAI2,2.23670290933719e-36,2.16781848356671,2.38371853610659,1.95191843102683,1.02461326910455e-33
34,SPARC,2.78224581887497e-36,2.28882208574715,2.5274819906002,2.0501621808941,1.23703558952744e-33
35,EVPL,4.82228424145645e-36,-1.68952718107873,-1.49199017399821,-1.88706418815925,2.08281345365992e-33
36,DST,5.35019003619438e-36,1.68672353582829,1.88529212809587,1.4881549435607,2.24663396603196e-33
37,CRNN,1.12384162220062e-35,-2.60433791993762,-2.30762784127268,-2.90104799860256,4.59165237913696e-33
38,TRP63,3.22974581685016e-35,1.75924482754779,1.99136034563503,1.52712930946054,1.28484388192958e-32
39,SLURP1,9.10254000912434e-35,-2.70472590589929,-2.39416398445977,-3.0152878273388,3.52828454661366e-32
40,TNS3,1.04160124576344e-34,1.47278117824118,1.65567648056552,1.28988587591684,3.9364715080515e-32
41,FERMT1,1.78319869010213e-34,1.58441088370772,1.78745810278085,1.38136366463458,6.57478404835948e-32
42,ACTN1,2.36830847591703e-34,1.26954650074466,1.41793136315379,1.12116163833553,8.52421886438995e-32
43,GRHL1,4.2314576005842e-34,-1.63311980624251,-1.4401037057379,-1.82613590674713,1.48760336158212e-31
44,CRB3,5.45488808977586e-34,-1.5778927508583,-1.38195545400622,-1.77383004771038,1.87412598302595e-31
45,MSN,7.98168831026388e-34,1.39583506219557,1.56039943149597,1.23127069289518,2.62771766677185e-31
46,SERPINB11,7.99596564606107e-34,-2.30684961271678,-2.03966073656783,-2.57403848886573,2.62771766677185e-31
47,TMPRSS4,1.01196657738263e-33,-1.74187246482214,-1.52026264304396,-1.96348228660032,3.25487207453048e-31
48,ABHD5,1.05509795331731e-33,-1.37121378325609,-1.20307268134385,-1.53935488516832,3.32289911672869e-31
49,CDH13,1.17703794813909e-33,1.86320003591527,2.0995555071489,1.62684456468164,3.63128217592218e-31
50,PAICS,1.36477407292122e-33,1.53675945452651,1.7362657808242,1.33725312822883,4.04535091379413e-31
51,SLC38A2,1.35736263604929e-33,1.40462112804137,1.57456932651321,1.23467292956953,4.04535091379413e-31
52,GDPD1,1.81464536737773e-33,-1.91106066031443,-1.67057250301362,-2.15154881761525,5.27538346512484e-31
53,4930523C07RIK,1.89668574129397e-33,2.0547930803684,2.30914383470022,1.80044232603657,5.40984874549828e-31
54,ATIC,2.38096029909765e-33,1.78361752931177,1.99974199743719,1.56749306118634,6.31455734060688e-31
55,ATP6V0B,2.30367689778033e-33,-0.856364348072614,-0.754127202493486,-0.958601493651743,6.31455734060688e-31
56,ITGA6,2.32809510929142e-33,1.51121089533459,1.69336197945809,1.32905981121109,6.31455734060688e-31
57,NINJ1,2.34888453105353e-33,1.26155522909162,1.41652225125099,1.10658820693225,6.31455734060688e-31
58,PPFIBP2,6.88529451222997e-33,-1.4877529308784,-1.30152232426256,-1.67398353749425,1.7641524939217e-30
59,TGFBI,6.87112007284356e-33,1.95018527427656,2.16302465184581,1.73734589670731,1.7641524939217e-30
60,TMEM45B,7.3353176297384e-33,-2.17833832057851,-1.91093294041041,-2.4457437007466,1.84813327681259e-30
61,NRADD,7.49921312588145e-33,1.74791636825648,1.97890873223122,1.51692400428174,1.85845253809754e-30
62,CLTB,1.06894282596601e-32,-0.87857479820316,-0.771984003333885,-0.985165593072434,2.60632398389163e-30
63,SPINT1,1.11398815467617e-32,-1.34379716806821,-1.17624528861479,-1.51134904752162,2.67304110067297e-30
64,LY6D,1.44035641650068e-32,-2.02639660359999,-1.78034300044331,-2.27245020675667,3.40216686691262e-30
65,BCAM,1.71057847703124e-32,1.83621799762596,2.07460551473865,1.59783048051327,3.97827920573558e-30
66,LY6G6E,2.36475051390475e-32,-2.16975443429687,-1.93714156199866,-2.40236730659509,5.41635356343911e-30
67,ABLIM1,3.12189115245803e-32,-1.47698388631428,-1.28932241613518,-1.66464535649338,7.04382515697135e-30
68,RAB27B,4.08462959950816e-32,-1.81094829993702,-1.59182466943979,-2.03007193043425,9.08049200820071e-30
69,TJP3,5.13765152074074e-32,-1.81188852066404,-1.58545968519309,-2.03831735613498,1.12559243534837e-29
70,RAB11FIP1,6.12898381833178e-32,-1.64909209259575,-1.43067853209536,-1.86750565309613,1.32359783402459e-29
