primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr,Bonferroni.Padj
IFI27L2A,2.975201054101929e-200,8.92950561839362,9.19734322996913,8.66166800681812,5.395824631719257e-196,5.395824631719259e-196
BST2,3.588413153469159e-143,5.06161144554353,5.31487769406827,4.80834519701879,3.2539730475658393e-139,6.507946095131667e-139
RTP4,3.0188172298586996e-138,4.17794569897664,4.51169280215462,3.8441985957986597,1.8249756426905797e-134,5.474926928071738e-134
B2M,7.479612747361018e-132,3.89481469386736,4.10490252821328,3.6847268595214397,3.3912564196534793e-128,1.3565025678613942e-127
IFITM3,1.5565430312851997e-127,3.22408812976947,3.40350256552094,3.04467369401799,5.645892883077659e-124,2.822946441538838e-123
H2-K1,5.365715261498029e-125,3.18894271631894,3.36963210792074,3.00825332471713,1.6218768663754696e-121,9.731261198252825e-121
PFN1,1.1943211073227097e-119,-2.99186356042223,-2.81541598703744,-3.1683111338070202,3.094315371772109e-116,2.1660207602404664e-115
ISG15,4.9967991233217187e-113,5.65844945089892,6.03774320380323,5.27915569799461,1.1327743612570296e-109,9.06219489005627e-109
LGALS3BP,1.4039327318961994e-112,4.8256845118585,5.1363910792155,4.5149779445015,2.829080447296599e-109,2.5461724025669474e-108
H2-T22,5.737712682376979e-111,3.9168172865276096,4.1823440346121,3.6512905384431202,1.0405915720758897e-107,1.0405915720758888e-106
OASL2,6.602836620187038e-109,4.38125767289592,4.70715001313562,4.05536533265623,1.0886276813064696e-105,1.1974904494371212e-104
PSMB8,4.2548654197498696e-104,6.16224368253352,6.309210578818071,6.015276786248981,6.430519937715299e-101,7.716623925258363e-100
XAF1,1.3417111552241396e-101,3.63740301462825,3.91171907973338,3.36308694952313,1.8717902700880796e-98,2.4333273511144995e-97
IRF7,2.5900477845507494e-100,4.890509386534269,5.311133968612269,4.46988480445627,3.35522190147231e-97,4.697310662061239e-96
PSMB9,3.914310073880659e-99,3.8337169554653596,4.13461174548923,3.5328221654415,4.732661833326639e-96,7.098992749989964e-95
H2-Q7,9.413404301215448e-99,4.9056396649438705,5.11619299193321,4.69508633795453,1.0670093775427695e-95,1.7072150040684337e-94
WBP5,1.3163247713176297e-96,2.44931139889811,2.6222962488862995,2.27632654890991,1.4042862383892095e-93,2.387286605261653e-92
LY6E,2.5776451548258894e-95,1.54430957071555,1.65463910778653,1.43398003364456,2.5971206959956895e-92,4.674817252792233e-91
AY036118,6.823554486477438e-93,-3.70173768148382,-3.4406607340142705,-3.9628146289533697,6.513262324566049e-90,1.2375198416675481e-88
H2-D1,7.915681155412678e-93,2.27581903473639,2.4416789588316097,2.10995911064118,7.177939671728218e-90,1.4355879343456433e-88
TAP1,1.2594394259759197e-92,3.01241030610598,3.24845349836631,2.77636711384566,1.0876758775952098e-89,2.284119342949928e-88
RAB15,2.7056445911753694e-91,2.52532608894286,2.7218170957398997,2.32883508214581,2.2304350138889395e-88,4.90695703055565e-87
SHISA5,5.083316239566588e-91,2.2607059174435,2.4279148729731403,2.09349696191387,4.008305361773029e-88,9.219102332077965e-87
IDH2,9.367452460311159e-88,2.34079565771358,2.5222324998405803,2.1593588155865704,7.078671575841799e-85,1.6988811782020318e-83
YWHAQ,7.545039378455738e-87,1.6550221795648101,1.78200243798677,1.5280419211428502,5.47347336670694e-84,1.3683683416767328e-82
STAT1,1.4561319248433496e-85,2.74351386126039,2.9561889108133297,2.5308388117074503,1.0157080226522698e-82,2.6408408588958987e-81
KRT8,3.8123688447328893e-84,4.61317946965589,5.00527198138993,4.22108695792184,2.560782272891689e-81,6.914112136807568e-80
