primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr,Bonferroni.Padj
RTP4,2.5951421041578485e-239,4.8710241862325,5.037764926774621,4.70428344569038,4.7065497201006676e-235,4.706549720100674e-235
IFI27L2A,2.195231679038359e-202,8.342113576904731,8.57073928216649,8.11348787164297,1.990636086551989e-198,3.981272173103968e-198
BST2,2.1801156258725594e-198,5.55143148600278,5.76034680811387,5.34251616389169,1.3179525663608293e-194,3.9538576990824736e-194
B2M,1.0892843324012796e-190,3.5531562614821803,3.6872019308386,3.41911059212576,4.852481678641148e-187,1.9755260652429606e-186
TRP53,1.3378037270183993e-190,-4.2399878266415,-4.0914457172165495,-4.38852993606645,4.852481678641148e-187,2.426240839320569e-186
ISG15,3.323732764798309e-179,6.4186748325761505,6.68275670285291,6.15459296229939,1.0046536237063696e-175,6.027921742238213e-175
H2-D1,1.0405434644381497e-170,2.67830497507803,2.7924574910268904,2.56415245912916,2.6958994672928993e-167,1.8871296271050283e-166
H2-K1,1.0457737567208996e-167,2.87729791200679,3.00216592907493,2.7524298949386603,2.370769106486269e-164,1.8966152851890233e-163
PSMB8,2.9265022305535686e-167,5.43711537616256,5.613614714762219,5.2606160375629,5.897227161479949e-164,5.307504445331952e-163
PFN1,6.589360026772228e-146,-2.9498257422978105,-2.7996654519377704,-3.09998603265786,1.1950463344554097e-142,1.1950463344554114e-141
OASL2,1.6649110489962494e-141,4.976246446437719,5.1270032532925995,4.825489639582839,2.7449842531450895e-138,3.019482678459598e-137
PSMB9,3.485757641462469e-141,3.6040896446841098,3.8045511507183796,3.40362813864983,5.268141715463609e-138,6.321770058556333e-137
H2-Q7,1.6395483010402795e-140,4.44211355765699,4.626822174741269,4.25740494057272,2.287295999051269e-137,2.973484798766651e-136
IRF7,6.089307480079539e-140,5.03830179239813,5.2873989333598095,4.789204651436441,7.888262889908748e-137,1.1043568045872251e-135
XAF1,3.631002724971789e-136,3.75221276071397,3.9449048775909596,3.55952064383699,4.3901243613392194e-133,6.585186542008837e-132
H2-T22,1.9997018141719594e-134,3.64226410915514,3.84409279663922,3.4404354216710495,2.266662006363919e-131,3.626659210182266e-130
LGALS3BP,6.985120439294928e-132,4.92754167629864,5.09319407427016,4.761889278327111,7.45189084041487e-129,1.2668214428705281e-127
LY6E,5.321797325274679e-131,1.3988663162381296,1.47628107395383,1.32145155852243,5.362006460621198e-128,9.651611629118157e-127
IRF9,1.9409635513936796e-122,2.2222026291019104,2.3575434500180803,2.0868618081857497,1.8527007877934694e-119,3.5201314968075775e-118
SHISA5,6.363662656119048e-113,1.93099948979962,2.05232425785809,1.80967472174116,5.770569296568749e-110,1.1541138593137507e-108
APOL9B,6.427764304360488e-111,4.20394951572394,4.34141555228101,4.06648347916686,5.551139686851518e-108,1.165739334238818e-106
IFITM3,1.49917635125938e-110,1.56456278469371,1.6649346424611398,1.46419092692629,1.2358664684745497e-107,2.7189062306440116e-106
STAT1,2.1177142672766595e-109,3.2427478720144,3.45547325450153,3.03002248952728,1.6698637370143198e-106,3.84068659513295e-105
SLFN2,2.70437539178498e-109,3.80182445858114,3.99871915528691,3.6049297618753795,2.0436063377255192e-106,4.90465521054124e-105
APOL9A,2.2229163843086194e-105,4.22397637635934,4.38015778432335,4.06779496839532,1.6125924618328397e-102,4.031481154582112e-101
AY036118,2.72900608657261e-103,-3.57418545381376,-3.33330497986047,-3.8150659277670496,1.9035867071569595e-100,4.9493254386080855e-99
MGMT,4.369998694238759e-103,-2.8704108238766497,-2.70536155004453,-3.03546009770876,2.935344308100519e-100,7.925429631871413e-99
SAMD9L,1.6199056763461796e-102,3.05533862760931,3.26422131446562,2.8464559407529997,1.0492360480790799e-99,2.9378609346214315e-98
IFI35,8.90760418943233e-102,2.3387689440840895,2.4989487749039,2.17858911326428,5.570631364811889e-99,1.6154830957954472e-97
LGALS9,1.1223644835900598e-100,4.37869293200114,4.54468577319425,4.21270009080804,6.785067424796419e-98,2.0355202274389323e-96
USP18,8.074570727115449e-100,3.5505553825636,3.80689100189243,3.2942197632347705,4.72388434538599e-97,1.4644041470696579e-95
XPO7,1.13633960533739e-99,2.4224380583578,2.56632770237806,2.27854841433754,6.440204713249638e-97,2.0608655082398906e-95
TAPBP,1.1879255947075698e-96,2.2069667540204905,2.36435705960026,2.04957644844071,6.528551086550448e-94,2.1544218585616485e-92
CDKN2A,6.220162172548768e-96,1.77327369738197,1.90054934408548,1.64599805067845,3.3179076812160193e-93,1.1280886116134446e-91
IFI44,8.563030030571847e-96,3.99078776198687,4.12583381945522,3.85574170451852,4.437117503841459e-93,1.55299112634451e-91
CNFN,1.9218929957897894e-94,-2.9258768158475204,-2.7897259455680197,-3.06202768612702,9.682069825456549e-92,3.4855451371643623e-90
OAS3,3.2682120794065794e-93,3.35842864270755,3.5225469136172998,3.19431037179779,1.6019538992464297e-90,5.927229427211772e-89
EIF2AK2,7.152288652990328e-93,1.95470115064894,2.1008193384224496,1.8085829628754198,3.4135238687008596e-90,1.2971390701063258e-88
GM10076,7.802204192232319e-93,-1.8370277614959698,-1.70167855519275,-1.9723769677991998,3.6282250059057794e-90,1.4150077523032533e-88
FUT9,8.129368666941739e-91,3.15131234476686,3.36741380705432,2.9352108824794,3.6858557535913893e-88,1.4743423014365537e-86
SP100,1.0248599933992798e-90,3.37473471382271,3.48891212261706,3.26055730502836,4.5333806927534985e-88,1.8586860840289338e-86
PTP4A3,1.2055626129838296e-90,-2.1729749905987,-2.00851011689672,-2.33743986430068,5.205734178351149e-88,2.1864083549074734e-86
PARP9,5.522818974973739e-90,2.19938525382548,2.37152725996484,2.02724324768612,2.32934523093311e-87,1.0016184493012373e-85
DDX58,2.5058209035847995e-89,2.04301828907907,2.20473419528189,1.88130238287625,1.0328538160775897e-86,4.544556790741392e-85
YWHAQ,2.7646358570244595e-89,1.1802505739031202,1.2698729454997701,1.09062820230647,1.1142096867332397e-86,5.0139435902995596e-85
PHF11D,9.296991667151447e-89,3.73234639400694,3.9010528631329704,3.56363992488091,3.66544001903171e-86,1.6861024087545865e-84
TAP1,7.984308182361099e-87,2.3447483680755896,2.5297927044080097,2.15970403174317,3.0809236850063994e-84,1.448034131953009e-82
TRIM30A,5.208847960714448e-86,3.51245337874304,3.6309216411624505,3.3939851163236403,1.9680763878232794e-83,9.446766661551724e-82
LY6G6C,4.475840565479909e-85,-2.29663437679818,-2.16814749654528,-2.4251212570510696,1.6566090713376296e-82,8.117384449554364e-81
EEF1B2,2.6265158744462995e-84,-1.01263594927291,-0.93205619712522,-1.0932157014206099,9.526898379791628e-82,4.763449189895809e-80
STAT2,7.558167506422039e-84,2.37170123710945,2.5687829180939303,2.17461955612497,2.6877436450288294e-81,1.370749258964701e-79
ZBP1,2.1184574118158896e-83,3.8117069130063395,3.9709247687779703,3.65248905723471,7.388527619364019e-81,3.842034362069297e-79
EPCAM,7.293627511163949e-83,2.44032302858101,2.6361776741775,2.24446838298451,2.4957967649522496e-80,1.3227722854246937e-78
H2-Q4,3.3836688688740093e-82,2.36084725044917,2.55386258149359,2.1678319194047497,1.1157494291981598e-79,6.136621860589904e-78
IFIT1,3.630615288109629e-82,4.434873450605389,4.6328969291173605,4.23684997209341,1.1758006940206497e-79,6.584483886515624e-78
D10WSU102E,5.7355055993062285e-81,2.4886677186538,2.57336814088809,2.4039672964195202,1.8248970096318899e-78,1.0401912954901776e-76
SLC39A4,1.7153394942938897e-80,3.08903745360434,3.34127709707283,2.83679781013585,5.363689149743779e-78,3.1109397068513986e-76
MNDAL,5.727193441674299e-79,2.9378487263802797,3.17290625736315,2.70279119539741,1.7604810213255098e-76,1.0386838025820508e-74
CASP4,1.1663381534289198e-76,2.50252278457389,2.69403391823946,2.31101165090831,3.525451458431149e-74,2.115270875058689e-72
RSAD2,1.8934445506523195e-76,3.68378629682562,3.8812767185741097,3.4862958750771402,5.629427929611548e-74,3.4339510370630465e-72
ARF4,2.2763863296710293e-76,1.17794943006022,1.27838431268656,1.0775145474338799,6.65879717337318e-74,4.1284542474913787e-72
